iter	Passed	Remaining
0	3	314
1	5	267
2	8	269
3	11	275
4	14	266
5	16	254
6	18	240
7	19	229
8	22	225
9	25	227
10	28	230
11	31	233
12	33	224
13	35	216
14	36	207
15	38	204
16	40	199
17	42	193
18	43	187
19	45	181
20	46	176
21	48	171
22	49	166
23	51	162
24	52	158
25	54	155
26	56	152
27	57	149
28	59	145
29	60	141
30	62	138
31	63	134
32	64	131
33	65	127
34	67	124
35	68	121
36	70	120
37	72	118
38	73	115
39	75	113
40	76	110
41	78	107
42	79	105
43	80	102
44	82	100
45	83	98
46	85	96
47	87	94
48	89	92
49	90	90
50	91	88
51	93	86
52	94	83
53	96	81
54	97	79
55	99	77
56	101	76
57	102	74
58	104	72
59	105	70
60	107	68
61	108	66
62	109	64
63	111	62
64	112	60
65	114	58
66	116	57
67	117	55
68	119	53
69	120	51
70	121	49
71	123	48
72	124	46
73	126	44
74	127	42
75	129	40
76	131	39
77	133	37
78	134	35
79	136	34
80	137	32
81	138	30
82	140	28
83	141	26
84	143	25
85	144	23
86	146	21
87	148	20
88	150	18
89	151	16
90	152	15
91	154	13
92	155	11
93	156	10
94	158	8
95	159	6
96	162	5
97	164	3
98	166	1
99	167	0
